json_file,cycle_index,n_tokens,rle_colors,rotated_to_order,rotation_applied,start_orientation,flash_count,flash_positions_norm,flash_color_hits,base4_seq
20250328_124758000_iOS.2.json.sequence.json,0,51,Yellow|Green|Blue|Yellow|Green|Yellow|Green|Yellow|Pink/Magenta|Yellow|Pink/Magenta|Blue|Green|Yellow|Blue|Yellow|Green|Yellow|Green|Pink/Magenta|Yellow|Pink/Magenta|Yellow|Blue|Yellow|Blue|Pink/Magenta|Yellow|Pink/Magenta|Yellow,Yellow|Green|Blue|Yellow|Green|Yellow|Green|Yellow|Pink/Magenta|Yellow|Pink/Magenta|Blue|Green|Yellow|Blue|Yellow|Green|Yellow|Green|Pink/Magenta|Yellow|Pink/Magenta|Yellow|Blue|Yellow|Blue|Pink/Magenta|Yellow|Pink/Magenta|Yellow,False,↑,16,0.18|0.22|0.26|0.28|0.3|0.36|0.4|0.56|0.68|0.7|0.76|0.82|0.88|0.9|0.96|0.98,Yellow|Yellow|Pink/Magenta|Yellow|Yellow|Pink/Magenta|Blue|Yellow|Pink/Magenta|Pink/Magenta|Pink/Magenta|Yellow|Pink/Magenta|Pink/Magenta|Pink/Magenta|Yellow,320323231310230323213130301313
20250812_034218000_iOS.json.sequence.json,0,4,Blue|Green|Pink/Magenta,Blue|Green|Pink/Magenta,False,↑,0,,,021
20250812_034218000_iOS.json.sequence.json,1,7,Green|Blue|Green|Blue|Pink/Magenta,Green|Blue|Green|Blue|Pink/Magenta,False,,1,0.667,Blue,20201
20250812_034218000_iOS.json.sequence.json,2,8,Green|Blue|Yellow|Blue|Yellow|Blue|Pink/Magenta|Blue,Green|Blue|Yellow|Blue|Yellow|Blue|Pink/Magenta|Blue,False,↓,2,0.143|0.857,Blue|Pink/Magenta,20303010
20250812_034218000_iOS.json.sequence.json,3,8,Blue|Green|Yellow|Blue|Pink/Magenta,Green|Yellow|Blue|Pink/Magenta|Blue,True,,3,0.0|0.143|0.286,Blue|Blue|Blue,23010
20250812_034218000_iOS.json.sequence.json,4,1,Green,Green,False,↓,0,,,2
20250812_034218000_iOS.json.sequence.json,5,2,Pink/Magenta|Blue,Pink/Magenta|Blue,False,,0,,,10
20250812_034218000_iOS.json.sequence.json,6,7,Blue|Pink/Magenta|Blue|Green|Yellow|Green,Blue|Pink/Magenta|Blue|Green|Yellow|Green,False,,2,0.0|0.5,Blue|Blue,010232
20250812_034218000_iOS.json.sequence.json,7,7,Blue|Pink/Magenta|Blue|Green|Blue|Green,Blue|Pink/Magenta|Blue|Green|Blue|Green,False,,1,0.5,Blue,010202
20250812_034218000_iOS2.5.json.sequence.json,0,15,Blue|Green|Blue|Green|Blue|Green|Blue|Green|Pink/Magenta|Blue,Blue|Green|Blue|Green|Blue|Green|Blue|Green|Pink/Magenta|Blue,False,,5,0.071|0.286|0.357|0.643|1.0,Blue|Blue|Blue|Blue|Blue,0202020210
20250812_034218000_iOS2.5.json.sequence.json,1,41,Blue|Yellow|Green|Pink/Magenta|Blue|Yellow|Blue|Pink/Magenta|Green|Blue|Yellow|Blue|Pink/Magenta|Blue|Green|Blue|Green|Blue|Green|Blue|Pink/Magenta|Blue|Green|Yellow|Blue|Green,Yellow|Blue|Pink/Magenta|Green|Blue|Yellow|Blue|Pink/Magenta|Blue|Green|Blue|Green|Blue|Green|Blue|Pink/Magenta|Blue|Green|Yellow|Blue|Green|Blue|Yellow|Green|Pink/Magenta|Blue,True,,9,0.175|0.2|0.3|0.425|0.475|0.575|0.7|0.725|0.975,Blue|Blue|Pink/Magenta|Blue|Blue|Blue|Blue|Pink/Magenta|Blue,30120301020202010230203210
20250812_034218000_iOS2.6.json.sequence.json,0,1,Blue,Blue,False,,1,0.0,Blue,0
20250812_034218000_iOS2.6.json.sequence.json,1,38,Blue|Yellow|Blue|Green|Yellow|Blue|Yellow|Pink/Magenta|Blue|Pink/Magenta|Yellow|Blue|Pink/Magenta|Blue|Pink/Magenta|Green|Blue|Pink/Magenta|Blue|Green|Pink/Magenta|Blue,Blue|Yellow|Blue|Green|Yellow|Blue|Yellow|Pink/Magenta|Blue|Pink/Magenta|Yellow|Blue|Pink/Magenta|Blue|Pink/Magenta|Green|Blue|Pink/Magenta|Blue|Green|Pink/Magenta|Blue,False,,5,0.081|0.622|0.946|0.973|1.0,Blue|Blue|Pink/Magenta|Pink/Magenta|Blue,0302303101301012010210
20250812_034218000_iOS2.6.json.sequence.json,2,29,Green|Yellow|Pink/Magenta|Blue|Green|Blue|Green|Blue|Yellow|Green|Yellow|Blue|Pink/Magenta|Blue|Green,Green|Yellow|Blue|Pink/Magenta|Blue|Green|Green|Yellow|Pink/Magenta|Blue|Green|Blue|Green|Blue|Yellow,True,↓,4,0.143|0.821|0.929|0.964,Blue|Blue|Blue|Blue,230102231020203
20250812_034218000_iOS2.6.json.sequence.json,3,6,Green|Blue,Green|Blue,False,↑,1,1.0,Blue,20
20250812_034218000_iOS2.json.sequence.json,0,5,Pink/Magenta|Blue|Pink/Magenta,Pink/Magenta|Blue|Pink/Magenta,False,,0,,,101
20250812_034218000_iOS2.json.sequence.json,1,10,Blue|Pink/Magenta|Blue,Blue|Pink/Magenta|Blue,False,,3,0.111|0.556|1.0,Blue|Blue|Blue,010
20250812_034409000_iOS.json.sequence.json,0,10,Green|Blue|Green|Blue,Green|Blue|Green|Blue,False,↓,2,0.0|0.222,Green|Blue,2020
20250812_034409000_iOS2.json.sequence.json,0,1,Green,Green,False,↑,1,0.0,Green,2
20250815_204153000_iOS2.json.sequence.json,0,127,Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Green|Blue|Green|Blue|Green|Blue|Yellow|Blue|Green|Blue|Green|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Yellow|Blue|Pink/Magenta|Blue|Yellow|Pink/Magenta|Blue|Pink/Magenta|Yellow|Green|Blue|Green|Yellow|Blue,Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Green|Blue|Green|Blue|Green|Blue|Yellow|Blue|Green|Blue|Green|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Yellow|Blue|Pink/Magenta|Blue|Yellow|Pink/Magenta|Blue|Pink/Magenta|Yellow|Green|Blue|Green|Yellow|Blue,False,↓,22,0.008|0.111|0.143|0.159|0.198|0.214|0.222|0.23|0.262|0.27|0.452|0.46|0.524|0.627|0.635|0.675|0.683|0.69|0.698|0.714|0.722|0.825,Blue|Blue|Pink/Magenta|Blue|Blue|Blue|Blue|Green|Blue|Blue|Green|Green|Blue|Blue|Blue|Blue|Blue|Blue|Blue|Blue|Blue|Pink/Magenta,0101010202020302020101030103101320230
20250815_204153000_iOS3.json.sequence.json,0,77,Pink/Magenta|Blue|Yellow|Pink/Magenta|Blue|Pink/Magenta|Yellow|Blue|Green|Yellow|Blue|Green|Blue|Green|Blue|Green|Blue|Green|Blue|Green|Blue|Green|Blue|Green|Pink/Magenta|Blue|Green|Blue|Pink/Magenta|Blue|Green|Blue|Pink/Magenta|Green|Pink/Magenta|Blue|Yellow|Blue,Pink/Magenta|Blue|Yellow|Pink/Magenta|Blue|Pink/Magenta|Yellow|Blue|Green|Yellow|Blue|Green|Blue|Green|Blue|Green|Blue|Green|Blue|Green|Blue|Green|Blue|Green|Pink/Magenta|Blue|Green|Blue|Pink/Magenta|Blue|Green|Blue|Pink/Magenta|Green|Pink/Magenta|Blue|Yellow|Blue,False,,13,0.053|0.276|0.329|0.342|0.447|0.5|0.513|0.526|0.658|0.671|0.776|0.855|0.868,Pink/Magenta|Blue|Green|Green|Blue|Blue|Blue|Blue|Blue|Blue|Pink/Magenta|Blue|Blue,10310130230202020202020210201020121030
20250815_204153000_iOS4.json.sequence.json,0,87,Blue|Green|Blue|Yellow|Blue|Green|Blue|Pink/Magenta|Blue|Green|Blue|Yellow|Blue|Pink/Magenta|Blue|Yellow|Pink/Magenta|Blue|Pink/Magenta|Blue|Green|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Green|Blue|Pink/Magenta|Blue|Green|Blue|Pink/Magenta|Blue,Blue|Green|Blue|Yellow|Blue|Green|Blue|Pink/Magenta|Blue|Green|Blue|Yellow|Blue|Pink/Magenta|Blue|Yellow|Pink/Magenta|Blue|Pink/Magenta|Blue|Green|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Green|Blue|Pink/Magenta|Blue|Green|Blue|Pink/Magenta|Blue,False,↓,14,0.07|0.14|0.186|0.384|0.523|0.535|0.57|0.581|0.605|0.721|0.744|0.965|0.988|1.0,Blue|Blue|Blue|Blue|Blue|Blue|Pink/Magenta|Pink/Magenta|Blue|Blue|Blue|Blue|Pink/Magenta|Blue,020302010203010310102010101020102010
20250815_204153000_iOS5.json.sequence.json,0,2,Blue,Blue,False,,0,,,0
20250815_204153000_iOS5.json.sequence.json,1,1,Green,Green,False,,0,,,2
20250815_204153000_iOS5.json.sequence.json,2,1,Blue,Blue,False,↑,0,,,0
20250815_204153000_iOS5.json.sequence.json,3,1,Blue,Blue,False,,0,,,0
20250815_204153000_iOS5.json.sequence.json,4,1,Blue,Blue,False,,1,0.0,Blue,0
20250815_204153000_iOS5.json.sequence.json,5,1,Blue,Blue,False,↑,0,,,0
20250815_204153000_iOS5.json.sequence.json,6,1,Green,Green,False,↑,0,,,2
20250815_204153000_iOS5.json.sequence.json,7,2,Blue|Pink/Magenta,Blue|Pink/Magenta,False,,0,,,01
20250816_033400000_iOS.2.json.sequence.json,0,1,Blue,Blue,False,↓,0,,,0
20250816_033400000_iOS.2.json.sequence.json,1,1,Blue,Blue,False,↑,0,,,0
20250816_033400000_iOS.2.json.sequence.json,2,1,Pink/Magenta,Pink/Magenta,False,,0,,,1
20250816_033400000_iOS.2.json.sequence.json,3,1,Blue,Blue,False,,0,,,0
20250816_033400000_iOS.2.json.sequence.json,4,1,Blue,Blue,False,↓,0,,,0
20250816_033400000_iOS.json.sequence.json,0,93,Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Green|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Pink/Magenta|Green|Blue,Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Green|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Pink/Magenta|Green|Blue,False,↑,18,0.033|0.489|0.5|0.554|0.685|0.696|0.707|0.739|0.75|0.761|0.772|0.783|0.793|0.804|0.924|0.935|0.946|0.957,Blue|Pink/Magenta|Pink/Magenta|Blue|Blue|Blue|Blue|Blue|Blue|Blue|Blue|Blue|Blue|Pink/Magenta|Blue|Blue|Blue|Blue,01010201010120
20250816_033400000_iOS_conv.json.sequence.json,0,26,Blue|Pink/Magenta|Green|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Green|Blue,Blue|Pink/Magenta|Green|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Green|Blue,False,,9,0.08|0.12|0.36|0.56|0.68|0.72|0.76|0.8|0.88,Blue|Blue|Pink/Magenta|Pink/Magenta|Pink/Magenta|Blue|Blue|Green|Blue,0120101020
20250816_033400000_iOS_conv.json.sequence.json,1,1,Blue,Blue,False,↑,0,,,0
20250816_033400000_iOS_conv.json.sequence.json,2,40,Blue|Green|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Yellow|Blue|Pink/Magenta|Blue|Pink/Magenta|Yellow|Blue,Blue|Green|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Yellow|Blue|Pink/Magenta|Blue|Pink/Magenta|Yellow|Blue,False,↑,11,0.205|0.256|0.282|0.308|0.487|0.513|0.564|0.641|0.667|0.821|0.846,Green|Blue|Blue|Blue|Blue|Blue|Blue|Blue|Blue|Pink/Magenta|Pink/Magenta,02010103010130
20250816_033400000_iOS_conv.json.sequence.json,3,1,Blue,Blue,False,↓,0,,,0
20250816_033400000_iOS_conv.json.sequence.json,4,51,Yellow|Blue|Green|Blue|Green|Blue|Green|Blue|Green|Blue|Green|Blue|Green|Pink/Magenta|Blue|Green|Blue|Pink/Magenta|Yellow|Blue|Pink/Magenta,Yellow|Blue|Green|Blue|Green|Blue|Green|Blue|Green|Blue|Green|Blue|Green|Pink/Magenta|Blue|Green|Blue|Pink/Magenta|Yellow|Blue|Pink/Magenta,False,,7,0.14|0.18|0.2|0.4|0.46|0.56|0.58,Blue|Green|Green|Blue|Blue|Blue|Blue,302020202020210201301
20250816_033400000_iOS_conv.json.sequence.json,5,52,Pink/Magenta|Blue|Green|Blue|Pink/Magenta|Green|Pink/Magenta|Blue|Yellow|Pink/Magenta|Blue|Pink/Magenta|Blue|Green|Blue|Yellow|Blue,Pink/Magenta|Blue|Green|Blue|Pink/Magenta|Green|Pink/Magenta|Blue|Yellow|Pink/Magenta|Blue|Pink/Magenta|Blue|Green|Blue|Yellow|Blue,False,,6,0.059|0.235|0.255|0.275|0.529|1.0,Pink/Magenta|Blue|Blue|Blue|Blue|Blue,10201210310102030
Michelle_orb_video.json.sequence.json,0,55,Pink/Magenta|Blue|Yellow|Pink/Magenta|Yellow|Pink/Magenta|Yellow|Pink/Magenta|Yellow|Pink/Magenta|Yellow|Pink/Magenta|Yellow|Pink/Magenta|Yellow|Pink/Magenta|Yellow|Blue|Yellow|Blue|Pink/Magenta|Yellow|Blue|Yellow|Pink/Magenta|Yellow|Pink/Magenta,Pink/Magenta|Blue|Yellow|Pink/Magenta|Yellow|Pink/Magenta|Yellow|Pink/Magenta|Yellow|Pink/Magenta|Yellow|Pink/Magenta|Yellow|Pink/Magenta|Yellow|Pink/Magenta|Yellow|Blue|Yellow|Blue|Pink/Magenta|Yellow|Blue|Yellow|Pink/Magenta|Yellow|Pink/Magenta,False,↑,16,0.0|0.019|0.167|0.185|0.222|0.37|0.389|0.407|0.426|0.481|0.574|0.63|0.648|0.667|0.889|1.0,Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta,103131313131313130301303131
MISC_PNG.sequence.json,0,1,Unknown,Unknown,False,↓,1,0.0,Unknown,
RecordIt-1757292756_conv.json.sequence.json,0,116,Pink/Magenta|Blue|Pink/Magenta|Blue|Pink/Magenta|Green|Yellow|Pink/Magenta|Blue|Pink/Magenta|Green|Blue|Pink/Magenta|Blue|Pink/Magenta|Green|Pink/Magenta|Green|Yellow|Pink/Magenta|Blue|Pink/Magenta|Yellow|Pink/Magenta|Yellow|Pink/Magenta|Blue|Pink/Magenta|Green|Yellow,Blue|Pink/Magenta|Green|Yellow|Pink/Magenta|Blue|Pink/Magenta|Green|Blue|Pink/Magenta|Blue|Pink/Magenta|Green|Pink/Magenta|Green|Yellow|Pink/Magenta|Blue|Pink/Magenta|Yellow|Pink/Magenta|Yellow|Pink/Magenta|Blue|Pink/Magenta|Green|Yellow|Pink/Magenta|Blue|Pink/Magenta,True,,85,0.0|0.009|0.017|0.026|0.035|0.043|0.052|0.061|0.07|0.078|0.087|0.096|0.104|0.113|0.122|0.13|0.139|0.148|0.157|0.165|0.174|0.183|0.191|0.2|0.209|0.217|0.296|0.313|0.322|0.33|0.339|0.348|0.357|0.365|0.374|0.4|0.409|0.417|0.426|0.435|0.443|0.452|0.461|0.47|0.478|0.504|0.522|0.53|0.539|0.548|0.557|0.565|0.574|0.583|0.591|0.6|0.609|0.617|0.626|0.635|0.643|0.652|0.661|0.67|0.678|0.687|0.696|0.704|0.713|0.722|0.73|0.739|0.748|0.757|0.765|0.774|0.783|0.791|0.8|0.93|0.939|0.957|0.974|0.983|0.991,Pink/Magenta|Blue|Pink/Magenta|Pink/Magenta|Blue|Blue|Blue|Blue|Blue|Blue|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Green|Yellow|Blue|Pink/Magenta|Pink/Magenta|Green|Blue|Blue|Blue|Pink/Magenta|Pink/Magenta|Blue|Pink/Magenta|Pink/Magenta|Green|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Yellow|Yellow|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Blue|Blue|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Yellow|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Pink/Magenta|Yellow|Yellow|Green|Green|Green|Green|Green|Yellow,012310120101212310131310123101
v12044gd0000d21um37og65quktep0s0.json.sequence.json,0,25,Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Pink/Magenta,Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Pink/Magenta,False,↓,6,0.0|0.083|0.125|0.292|0.75|0.833,Blue|Pink/Magenta|Pink/Magenta|Blue|Pink/Magenta|Blue,010101010101
v12044gd0000d2hlm8fog65pe6sb3vm0.json.sequence.json,0,81,Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Yellow|Green|Blue|Green|Pink/Magenta|Yellow|Green|Pink/Magenta|Blue|Green|Blue|Yellow|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Yellow|Pink/Magenta|Blue|Green|Blue|Pink/Magenta|Yellow|Blue|Yellow|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Green|Pink/Magenta|Green|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Pink/Magenta|Green|Yellow|Blue|Yellow|Pink/Magenta|Blue,Blue|Pink/Magenta|Green|Yellow|Blue|Yellow|Pink/Magenta|Blue|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Yellow|Green|Blue|Green|Pink/Magenta|Yellow|Green|Pink/Magenta|Blue|Green|Blue|Yellow|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Yellow|Pink/Magenta|Blue|Green|Blue|Pink/Magenta|Yellow|Blue|Yellow|Blue|Pink/Magenta|Blue|Pink/Magenta|Blue|Green|Pink/Magenta|Green|Blue|Pink/Magenta|Blue|Pink/Magenta,True,↑,21,0.0|0.05|0.1|0.113|0.138|0.15|0.188|0.2|0.3|0.312|0.325|0.338|0.35|0.475|0.487|0.5|0.512|0.637|0.65|0.662|0.738,Blue|Blue|Blue|Blue|Blue|Blue|Blue|Blue|Pink/Magenta|Pink/Magenta|Blue|Blue|Blue|Pink/Magenta|Pink/Magenta|Blue|Blue|Blue|Blue|Blue|Blue,012303100101032021321020301010310201303010102120101
v12044gd0000d2husv7og65snaorfbcg.json.sequence.json,0,75,Blue|Pink/Magenta|Yellow|Pink/Magenta|Yellow|Green|Pink/Magenta|Yellow|Pink/Magenta|Yellow|Pink/Magenta|Green|Yellow|Green|Blue|Pink/Magenta|Green|Blue|Pink/Magenta|Yellow|Pink/Magenta|Blue|Pink/Magenta|Blue|Yellow|Blue|Yellow|Blue|Yellow|Pink/Magenta,Blue|Pink/Magenta|Yellow|Pink/Magenta|Yellow|Green|Pink/Magenta|Yellow|Pink/Magenta|Yellow|Pink/Magenta|Green|Yellow|Green|Blue|Pink/Magenta|Green|Blue|Pink/Magenta|Yellow|Pink/Magenta|Blue|Pink/Magenta|Blue|Yellow|Blue|Yellow|Blue|Yellow|Pink/Magenta,False,,10,0.392|0.446|0.622|0.635|0.649|0.662|0.757|0.77|0.784|0.892,Blue|Blue|Blue|Blue|Blue|Blue|Blue|Blue|Blue|Blue,013132131312320120131010303031
v12044gd0000d2husv7og65snaorfbcg.mp4.json.sequence.json,0,18,Pink/Magenta|Blue|Green|Pink/Magenta|Green|Pink/Magenta|Yellow|Pink/Magenta|Yellow|Green|Yellow,Pink/Magenta|Blue|Green|Pink/Magenta|Green|Pink/Magenta|Yellow|Pink/Magenta|Yellow|Green|Yellow,False,↓,0,,,10212131323
